POST-OFFICE-NAME	PIN-CODE	DISTRICT	STATE
DUNYA PUR	59120	Bahawalpur 	Punjab
DURNIYAN	47262	Rawalpindi 	Punjab
ELLAHABAD	55230	Kasur 	Punjab
EMIN ABAD	52460	Gujranwala 	Punjab
EMIN ABAD MORE	52450	Gujranwala 	Punjab
EXPORT PROCESSING ZONE (KP-1863)	75150	Korangi 	Sindh
F.S.MILLS GAMBAT	66080	Khairpur  	Sindh
FAISALABAD AMIN PUR BANGLOW	38200	Faisalabad 	Punjab
FAISALABAD BOARD OF EDUCATION	38004	Faisalabad 	Punjab
FAISALABAD G.P.O	38000	Faisalabad 	Punjab
FAISALABAD MADINA TOWN	38860	Faisalabad 	Punjab
FAISALABAD MILLAT COLONY	38080	Faisalabad 	Punjab
FAISALABAD NISHAT ABAD  	38600	Faisalabad 	Punjab
FAISALABAD NOOR PUR	38700	Faisalabad 	Punjab
FAISALABAD PEOPLES COLONY No.2	38090	Faisalabad 	Punjab
FAISALABAD PUNJAB MEDICAL COLLEGE	38800	Faisalabad 	Punjab
FAQIR WALI	62050	Bahawal Nagar 	Punjab
FAREEDABAD	76350	Dadu 	Sindh
FARID NAGAR	57400	Sahiwal 	Punjab
FARID TOWN SAHIWAL	57050	Sahiwal 	Punjab
FAROOKA	40040	Sargodha 	Punjab
FAROOQABAD	39520	Qila Sheikhupura 	Punjab
FAROOQABAD MANDI	39500	Qila Sheikhupura 	Punjab
FATEH GARH	51350	Sialkot 	Punjab
FATEH JANG	43350	Attock 	Punjab
FATEH PUR	31050	Layyah 	Punjab
FATEH PUR	50900	Gujrat 	Punjab
FATEHPUR	19030	Saidu Sharif 	NWFP
FAUJI SUGAR MILLS KHOSKI	72260	Hyderabad 	Sindh
FAZAL GARH 	34130	Muzaffargarh 	Punjab
FAZAL NAGAR	34210	Muzaffargarh 	Punjab
FEROZ SONS NOWSHERA	24160	Nowshera 	NWFP
FEROZA	64070	Rahimyar Khan 	Punjab
FEROZEPUR ROAD LAHORE	54600	Lahore Cantt 	Punjab
FERTILIZER FACTORY DHARKI	65020	Sukkur 	Sindh
FILTER PLANT GHARO	73220	Hyderabad 	Sindh
FORT ABBAS	62020	Bahawal Nagar 	Punjab
FORT IQBAL GARH	29150	Dera Ismail Khan 	NWFP
FORT MOROT	62000	Bahawal Nagar 	Punjab
FORT MUNROO	32320	Dera Ghazi Khan 	Punjab
FURMALI	43540	Attock 	Punjab
GADANI	90300	Khuzdar 	Balochistan
GADOON AMAZAI	23454	Sawabi 	NWFP
GAGGO	61000	Vehari 	Punjab
GAGGON	43330	Attock 	Punjab
GAHKOOCH	15200	Gilgit 	Northern Area
GAJI KHUHAWAR	77030	Larkana 	Sindh
GALA KANIYATA	12150	Rawalakot 	Azad Kashmir
GALAY WALA	60010	Multan 	Punjab
GAMANG	22170	Abbottabad 	NWFP
GAMBAT	66070	Khairpur  	Sindh
GAMBEER	22370	Abbottabad 	NWFP
GAMSEER	23040	Batkhela 	NWFP
GANDA KAS	43370	Attock 	Punjab
GANDA SINGH WALA	55100	Kasur 	Punjab
GANDAF	23480	Sawabi 	NWFP
GANDAKHA	80400	Sibi 	Balochistan
GANDAWA	81050	Sibi 	Balochistan
GANGA PUR	37280	Faisalabad 	Punjab
GARAHI DUPATTA	13150	Muzaffarabad 	Azad Kashmir
GARAM CHASHMA	17130	Chitral 	NWFP
GARELO	77120	Larkana 	Sindh
GARH	37110	Faisalabad 	Punjab
GARH MAHA RAJA	35080	Jhang 	Punjab
GARH MAHAL	49360	Jhelum 	Punjab
GARHA MORE	61150	Vehari 	Punjab
GARHI KAPURA	23310	Mardan 	NWFP
GARHI KHAIRO	79050	Jacobabad 	Sindh
GARHO	73242	Hyderabad 	Sindh
GARI YASIN	78150	Shikarpur 	Sindh
GARMANARA	23550	Sawabi 	NWFP
GAS TARBINE POWER MUZAFFARGARH	34060	Muzaffargarh 	Punjab
GATAL	48220	Talagang 	Punjab
GATHER	77212	Larkana 	Sindh
GAWADAR	91200	Turbat 	Balochistan
GENERAL HEAD QUARTER RAWALPINDI	46100	Rawalpindi 	Punjab
GHAKHAR	52200	Gujranwala 	Punjab
GHALEGI	19230	Saidu Sharif 	NWFP
GHALNAI	24650	Charsadda 	NWFP
GHARGOCHHO	67360	Nawabshah 	Sindh
GHARI HABIBULLAH	21240	Mansehra 	NWFP
GHARI KHUDA BUX BHUTTO	77340	Larkana 	Sindh
GHARIAI	47184	Murree 	Punjab
GHARIBABAD	23166	Mardan 	NWFP
GHARIBWAL CEMENT	49090	Jhelum 	Punjab
GHARO	73210	Hyderabad 	Sindh
GHARTAL	51090	Sialkot 	Punjab
GHAZI	22860	Haripur 	NWFP
GHAZI ABAD	48808	Chakwal 	Punjab
GHAZI ABAD	57210	Sahiwal 	Punjab
GHAZIAL	48904	Chakwal 	Punjab
GHAZNI KHEL	28450	Bannu 	NWFP
GHORA GALI	47110	Murree 	Punjab
GHORI WALA	28330	Bannu 	NWFP
GHORIKOT	14350	Gilgit 	Northern Area
GHOTKI	65110	Sukkur 	Sindh
GHOUS PUR	79180	Jacobabad 	Sindh
GHULAM ISHAQ KHAN INSTITUTE	23640	Mardan 	NWFP
GHULAM KHAN DHANI	79130	Jacobabad 	Sindh
GHULAM MUHAMMAD ABAD	38900	Faisalabad 	Punjab
GHUNDI	42302	Mianwali 	Punjab
GHUNDI MIR KHAN	27220	Kohat 	NWFP
GHUNIKE	51040	Sialkot 	Punjab
GIDDU BARRAGE	79220	Jacobabad 	Sindh
GIL ACRI	36270	T.T Singh 	Punjab
GILGIT GPO	15100	Gilgit 	Northern Area
GIROTE	41020	Khushab 	Punjab
GOGERA	56200	Okara 	Punjab
GOHADAPUR	51360	Sialkot 	Punjab
GOHKEER	17070	Mardan 	NWFP
GOJRA	50500	Mandi Bahauddin 	Punjab
GOJRA	36120	T.T Singh 	Punjab
GOLRA	45200	Islamabad 	Federal Capital
GOMA	16920	Skardu HPO	Northern Area
GOMAL BAZAR	29410	Tank 	NWFP
GOMAL UNIVERSITY NEW CAMPUS	29220	Dera Ismail Khan 	NWFP
GONDAL	51370	Sialkot 	Punjab
GONDAL (SARGODHA)	40216	Sargodha 	Punjab
GONDALAN WALA	52310	Gujranwala 	Punjab
GOTH CHAUDHARY SHAH NAWAZ	67220	Nawabshah 	Sindh
GOTH SHAHNAWAZ	70030	Hyderabad 	Sindh
GOTRIALA	50182	Gujrat 	Punjab
GUDWALIAN	22830	Haripur 	NWFP
GUJAR GARHI	23170	Mardan 	NWFP
GUJAR KHAN G.P.O.	47850	Gujar Khan 	Punjab
GUJRANWALA ANWAR INDUSTRIES	52300	Gujranwala 	Punjab
GUJRANWALA CANTT	52230	Gujranwala 	Punjab
GUJRANWALA CLIMAX ABAD	52290	Gujranwala 	Punjab
GUJRANWALA G.P.O.	52250	Gujranwala 	Punjab
GUJRANWALA PEOPLES COLONY	52260	Gujranwala 	Punjab
GUJRANWALA SECONDARY BOARD	52256	Gujranwala 	Punjab
GUJRAT (MARDAN)	23350	Mardan 	NWFP
GUJRAT (MUZAFFARGARH)	34120	Muzaffargarh 	Punjab
GUJRAT G.P.O.	50700	Gujrat 	Punjab
GUJRI	68120	Sanghar 	Sindh
GUL IMAM	29420	Tank 	NWFP
GULABPUR	16310	Skardu HPO	Northern Area
GULBERG COLONY 	54660	Lahore Cantt 	Punjab
GULEHRA GALI	47220	Murree 	Punjab
GULGASHT COLONY	60700	Multan 	Punjab
GULIANA	50160	Gujrat 	Punjab
GULMIT	15100	Gilgit 	Northern Area
GULPUR	11030	Kotli 	Azad Kashmir
GULYANA	47880	Gujar Khan 	Punjab
GUNNI MALNI	11150	Kotli 	Azad Kashmir
GUPCHANI	67510	Nawabshah 	Sindh 
GUPIS	15300	Gilgit 	Northern Area
GURGUSHTI	43410	Attock 	Punjab
HABERI	67420	Nawabshah 	Sindh
HABIB ABAD	26060	Kohat 	NWFP
HADALI	41210	Khushab 	Punjab
HADOWALI	43040	Attock 	Punjab
HAFIZ ABAD	52110	Gujranwala 	Punjab
HAIDERABAD (BHAKKAR)	30030	Bhakkar 	Punjab
HAJEERA	12160	Rawalakot 	Azad Kashmir
HAJI ABAD	21100	Mansehra 	NWFP
HAJI SHAHER	81300	Sibi 	Balochistan
HAJIWALA	50890	Gujrat 	Punjab
HALA	70120	Hyderabad 	Sindh
HALA OLD	70130	Hyderabad 	Sindh
HALLI	22580	Abbottabad 	NWFP
HAMEED	43470	Attock 	Punjab
HANESAR	47340	Rawalpindi 	Punjab
HANGU	26190	Kohat 	NWFP
HANGU POLICE TRAINING SCHOOL	26180	Kohat 	NWFP
HANUMAN GARH	58110	Khanewal 	Punjab
HARAKA	47652	Rawalpindi 	Punjab
HARAN PUR	49050	Jhelum 	Punjab
HARAPPA CITY	57170	Sahiwal 	Punjab
HARAPPA RAILWAY STATION	57160	Sahiwal 	Punjab
HARBANS PURA	54850	Lahore Cantt 	Punjab
HARI CHAND	24520	Charsadda 	NWFP
HARICHIN	17030	Chitral 	NWFP
HARIGHEL	12480	Bagh 	Azad Kashmir
HARIPUR CENTRAL JAIL	22640	Haripur 	NWFP
HARIPUR 	22620	Haripur 	NWFP
HARIPUR TELEPHONE FACTORY	22630	Haripur 	NWFP
HARNAI	82300	Sibi 	Balochistan
HARNOLI	42020	Mianwali 	Punjab
HAROON ABAD	62100	Bahawal Nagar 	Punjab
HASAN ABDAL	43730	Attock 	Punjab
HASHIMABAD	73150	Hyderabad 	Sindh
HASIL	48740	Chakwal 	Punjab
HASIL PUR MANDI	63000	Bahawalpur 	Punjab
HASLANWALA	50290	Mandi Bahauddin 	Punjab
HATHEJI	63320	Bahawalpur 	Punjab
HATHIAN	23120	Mardan 	NWFP
HATHUNGO	68350	Sanghar 	Sindh
HATTAR	43394	Attock 	Punjab
HATTAR INDUSTRIAL ESTATE	22610	Haripur 	NWFP
HATTIAN	43580	Attock 	Punjab
HATTIAN BALA	13180	Muzaffarabad 	Azad Kashmir
HAVELI BAHADUR SHAH	35150	Jhang 	Punjab
HAVELI LAKKHA	56020	Okara 	Punjab
HAVELIAN	22500	Abbottabad 	NWFP
HAVELIAN AMMUNATION DEPOT 	22520	Abbottabad 	NWFP
HAYATABAD  (PHASE-I)	25100	Peshawar 	NWFP
HAYATABAD PHASE-II	25124	Peshawar 	NWFP
HAYDER JATOI	77100	Larkana 	Sindh
HAZAR GANGI	87320	Quetta 	Balochistan
HAZARA UNIVERSITY	21120	Haripur 	NWFP
HAZOORPUR	40542	Sargodha 	Punjab
HAZRO	43440	Attock 	Punjab
HEAD RAJKAN	63236	Bahawalpur 	Punjab
HEAVY MECHANICAL COMPLEX TAXILA	47050	Wah Cantt. 	Punjab
HELAN	50440	Mandi Bahauddin 	Punjab
HERDOGHER	45800	Islamabad 	Federal Capital
HINGORAJA	66190	Khairpur  	Sindh
HODIGRAM	19220	Saidu Sharif 	NWFP
HUB CHOWKI	90250	Khuzdar 	Balochistan
HUJJAN	40560	Sargodha 	Punjab
HUJRA	56170	Okara 	Punjab
HURNAMAIRA	12410	Rawalakot 	Azad Kashmir
HURRAM ZAI	86710	Quetta 	Balochistan
HUSRI	70210	Hyderabad 	Sindh
HUSSAIN ABAD	41010	Khushab 	Punjab
HUSSAIN KOT	12270	Rawalkot 	Azad Kashmir
HUSSAINABAD	28108	Bannu 	NWFP
HUSSAINABAD	16250	Skardu HPO	Northern Area
HYDERABAD CANTT.	71110	Hyderabad 	Sindh
HYDERABAD CITY	71500	Hyderabad 	Sindh
HYDERABAD GPO	71000	Hyderabad 	Sindh
HYDERABAD TOWN SARGODHA	40340	Sargodha 	Punjab
HYSONS SUGAR MILLS JETHA BHUTTA	64080	Rahimyar Khan 	Punjab
IKHLAS	43240	Attock 	Punjab
IKHLASPUR	51830	Narowal 	Punjab
INDUSTRIAL ESTATE	60900	Multan 	Punjab
INFANTORY SCHOOL	87750	Quetta 	Balochistan
INJRA 	43020	Attock 	Punjab
INZAR BANDA	27500	Karak 	NWFP
IQBAL NAGAR	57350	Sahiwal 	Punjab
IQBALABAD	64310	Rahimyar Khan 	Punjab
ISA KHEL	42430	Mianwali 	Punjab
ISA KHEL	28424	Bannu 	NWFP
ISKANDAR ABAD	42340	Mianwali 	Punjab
ISLAM KOT	69240	Mirpur Khas 	Sindh
ISLAMABAD AIWAN-E-SADDAR	44040	Islamabad 	Federal Capital
ISLAMABAD ALLAMA IQBAL OPEN UNIVERSITY 	44310	Islamabad 	Federal Capital
ISLAMABAD B-BLOCK PAK SECTT.	44020	Islamabad 	Federal Capital
ISLAMABAD CABINET BLOCK 	44030	Islamabad 	Federal Capital
ISLAMABAD E-9 (AIR HQ)	44230	Islamabad 	Federal Capital
ISLAMABAD F-7 MARKAZ  	44210	Islamabad 	Federal Capital
ISLAMABAD F-8 MARKAZ 	44220	Islamabad 	Federal Capital
ISLAMABAD FEDERAL BOARD 	44320	Islamabad 	Federal Capital
ISLAMABAD G.P.O	44000	Islamabad 	Federal Capital
ISLAMABAD G-10 MARKAZ 	44100	Islamabad 	Federal Capital
ISLAMABAD G-5 FOREIGN OFFICE	44050	Islamabad 	Federal Capital
ISLAMABAD G-8/MARKAZ	44080	Islamabad 	Federal Capital
ISLAMABAD G-9/MARKAZ	44090	Islamabad 	Federal Capital
ISLAMABAD HAJJ COMPLEX	45210	Islamabad 	Federal Capital
ISLAMABAD I-10/MARKAZ	44800	Islamabad 	Federal Capital
ISLAMABAD I-8/4	44790	Islamabad 	Federal Capital
ISLAMABAD NATIONAL HEALTH LABORATIORIES	45500	Islamabad 	Federal Capital
ISLAMABAD PRIMR MINISTER SECTT.	44010	Islamabad 	Federal Capital
ISLAMABAD QUIAID-E-AZAM UNIVERSITY	45320	Islamabad 	Federal Capital
ISMAILA	23400	Mardan 	NWFP
ISMAILABAD	59200	Multan 	Punjab
JABBAR DARVESH	47660	Rawalpindi 	Punjab
JABBI	41220	Khushab 	Punjab
JABBI SHAH DILAWAR	48020	Talagang 	Punjab
JABOKA	56290	Okara 	Punjab
JABORI	21170	Mansehra 	NWFP
JACOBABAD GPO	79000	Jacobabad 	Sindh
JAGLOT TANGIR	14150	Gilgit 	Northern Area
JAHANIA	58200	Khanewal 	Punjab
JAHLAR	41170	Khushab 	Punjab
JAKHAR	36390	T.T Singh 	Punjab
JALAL PUR JATTAN	50780	Gujrat 	Punjab
JALAL PUR SHARIF	49120	Jhelum 	Punjab
JALALA	23150	Mardan 	NWFP
JALALIA	43400	Attock 	Punjab
JALALPUR NAU	52170	Gujranwala 	Punjab
JALALPUR PIRWALA	59250	Multan 	Punjab
JALBAI	23600	Sawabi 	NWFP
JALBANI 	32420	Dera Ghazi Khan 	Punjab
JALIL TOWN	52302	Gujranwala 	Punjab
JALLA JIM	61230	Vehari 	Punjab
JALLO	53500	Lahore 	Punjab
JALLOZAI	24240	Nowshera 	NWFP
JALSAI	23580	Sawabi 	NWFP
JALWAL	43112	Attock 	Punjab
JAM NAWAZ ALI	68070	Sanghar 	Sindh
JAM PUR	33000	Dera Ghazi Khan 	Punjab
JAM SAHIB	67500	Nawabshah 	Sindh
JAMAL DIN WALI	64370	Rahimyar Khan 	Punjab
JAMAL GARHI	23230	Mardan 	NWFP
JAMALI	41280	Khushab 	Punjab
JAMALPUR	63050	Bahawalpur 	Punjab
JAMARGHAL	49750	Jhelum 	Punjab
JAMBER KALAN	55250	Kasur 	Punjab
JAMIA ASHRAFIA	35360	Jhang 	Punjab
JAMKI	51020	Sialkot 	Punjab
JAMMU KASHMIR MUHAJIR COLONY	49480	Jhelum 	Punjab
JAMRUD	24730	Peshawar 	NWFP
JAND	43100	Attock 	Punjab
JAND (CHAKWAL)	48940	Chakwal 	Punjab
JAND MEHLOO	47970	Gujar Khan 	Punjab
JANDALA	49340	Jhelum 	Punjab
JANDAN WALA	30150	Bhakkar 	Punjab
JANDOLA	29470	Tank 	NWFP
JANG SHAHI	73110	Hyderabad 	Sindh
JANI WALA	36100	T.T Singh 	Punjab
JARANWALA	37250	Faisalabad 	Punjab
JARMOT KALAN	47990	Gujar Khan 	Punjab
JARRAL	22760	Abbottabad 	NWFP
JARWAR	65060	Sukkur 	Sindh
JASIAL	48072	Talagang 	Punjab
JASSAR	51750	Narowal 	Punjab
JATHEKI	51100	Sialkot 	Punjab
JATI	73060	Hyderabad 	Sindh
JATLI	47780	Gujar Khan 	Punjab
JATLI (AK)	10380	Mirpur 	Azad Kashmir
JATOI	34430	Muzaffargarh 	Punjab
JATTI DHERI	10480	Mirpur 	Azad Kashmir
JAUHAR ABAD	41200	Khushab 	Punjab
JAURAH	50250	Gujrat 	Punjab
JAVED NAGAR	59050	Multan 	Punjab
JEHAN GIRA	23620	Sawabi 	NWFP
JEWAR	19260	Mardan 	NWFP
JEWRA	47420	Rawalpindi 	Punjab
JHAL MAGSI	81100	Sibi 	Balochistan
JHALLAN	52120	Gujranwala 	Punjab
JHAMAT	43070	Attock 	Punjab
JHAMRAH	48550	Chakwal 	Punjab
JHANG GPO	35200	Jhang 	Punjab
JHANGI	22050	Abbottabad 	NWFP
JHATLA	48260	Chakwal 	Punjab
JHATTA HATHIAL	47550	Rawalpindi 	Punjab
JHAWRIAN	40350	Sargodha 	Punjab
JHELUM G.P.O.	49600	Jhelum 	Punjab
JHIKA GALI	47180	Murree 	Punjab
JHIMPIR R.S.	73100	Hyderabad 	Sindh
JHOK SHARIF	73010	Hyderabad 	Sindh
JHOKE UTRA	32430	Dera Ghazi Khan 	Punjab
JHOL	68230	Sanghar 	Sindh
JHUDO	69310	Mirpur Khas 	Sindh
JIWANI	91100	Turbat 	Balochistan
JOHI	76190	Dadu 	Sindh
JOKALIAN	50660	Gujrat 	Punjab
JUMAN SHAH	31600	Layyah 	Punjab
JUNEJO MODEL FORM FARM	68300	Sanghar 	Sindh
JUTIAL 	15150	Gilgit 	Northern Area
KABAL	19060	Saidu Sharif 	NWFP
KABIR WALA	58250	Khanewal 	Punjab
KACHA KHUH	58100	Khanewal 	Punjab
KACHAMALI KHEL	29184	Dera Ismail Khan 	NWFP
KACHI PAIND KHAN	29130	Dera Ismail Khan 	NWFP
KACHURA	16150	Skardu HPO	Northern Area
KADHALA	10034	Bhimber 	Azad Kashmir
KADIRPUR RAWAN	59000	Multan 	Punjab
KAGHAN	21210	Mansehra 	NWFP
KAGHUZAI	17120	Chitral 	NWFP
KAHI	26220	Kohat 	NWFP
KAHNA NAU	53100	Lahore Cantt 	Punjab
KAHROR PAKKA	59340	Bahawalpur 	Punjab
KAHURI	13200	Muzaffarabad 	Azad Kashmir
KAHUTA	47330	Rawalpindi 	Punjab
KAHUTI BAZAR	47266	Rawalpindi 	Punjab
KAKI NAO	35060	Jhang 	Punjab
KAKKI	28320	Bannu 	NWFP
KAKOTRI	22750	Haripur 	NWFP
KAKRALA	49326	Jhelum 	Punjab
KAKRALI	50980	Gujrat 	Punjab
KAKUL	22070	Abbottabad 	NWFP
KALA	32160	Dera Ghazi Khan 	Punjab
KALA	49500	Jhelum 	Punjab
KALA BAGH (HAZARA)	22270	Abbottabad 	NWFP
KALA DAB	11260	Kotli 	Azad Kashmir
KALA GUJRAN	49490	Jhelum 	Punjab
KALABAGH	42360	Mianwali 	Punjab
KALABAT	23520	Sawabi 	NWFP
KALAN BASAND	47274	Rawalpindi 	Punjab
KALANGAR	22810	Haripur 	NWFP
KALAR KAHAR	48530	Chakwal 	Punjab
KALAS WALA	51530	Sialkot 	Punjab
KALASKEY	52074	Gujranwala 	Punjab
KALAT	88300	Khuzdar 	Balochistan
KALATUK	92400	Turbat 	Balochistan
KALEKE	52150	Gujranwala 	Punjab
KALHORA	67350	Nawabshah 	Sindh
KALIAM AWAN	47680	Gujar Khan 	Punjab
KALLAR SAYYDAN	47520	Rawalpindi 	Punjab
KALLAS SHARIF	40290	Sargodha 	Punjab
KALLOR	42208	Mianwali 	Punjab
KALLUR KOT 	30140	Bhakkar 	Punjab
KALRI	42220	Mianwali 	Punjab
KALU KHAN	23410	Mardan 	NWFP
KALWAN	89300	Turbat 	Balochistan
KAMALIA	36350	T.T Singh 	Punjab
KAMALIA SUGAR MILLS 	36380	T.T Singh 	Punjab
KAMALPUR MUSA	43442	Attock 	Punjab
KAMAR MASHANI	42400	Mianwali 	Punjab
KAMBAR	77210	Larkana 	Sindh
KAMO KE	52470	Gujranwala 	Punjab
KAMRAN KALAY	24424	Charsadda 	NWFP
KAMRIAL	43360	Attock 	Punjab
KANA	19080	Saidu Sharif 	NWFP
KANDAN	40620	Sargodha 	Punjab
KANDHKOT	79160	Jacobabad 	Sindh
KANDIARI	68310	Sanghar 	Sindh
KANDIRA	65300	Sukkur 	Sindh
KANGANPUR	55000	Kasur 	Punjab
KANGRA	24620	Charsadda 	NWFP
KANGRA TOWNSHIP	22680	Haripur 	NWFP
KANI	43002	Attock 	Punjab
KANJRUR	51760	Narowal 	Punjab
KANJUR	43364	Attock 	Punjab
KANJWANI	37100	Faisalabad 	Punjab
KANYAT KHALIL	47730	Gujar Khan 	Punjab
KAPUROWALI	51150	Sialkot 	Punjab
KARACHI AIRPORT	75200	Korangi 	Sindh
KARACHI ALHYDRI GPO	74700	Alhydri 	Sindh
KARACHI BALDIA TOWN	75760	Alhydri 	Sindh
KARACHI BOARD OF SECONDARY EDUCATION	75990	Alhydri 	Sindh
KARACHI CANTT. 	75530	Karachi Saddar 	Sindh
KARACHI CITY G.P.O.	74000	Karachi City 	Sindh
KARACHI CLIFTON	75600	Karachi 	Sindh 
KARACHI DARUL ULOOM (KP-683)	75180	Korangi 	Sindh
KARACHI DEFENCE HOUSING SOCIETY	75500	Karachi Saddar 	Sindh
KARACHI FEDERAL B AREA	75950	New Town 	Sindh
KARACHI G.P.O.	74200	Karachi 	Sindh
KARACHI GOVERNOR HOUSE	75580	Karachi 	Sindh
KARACHI GULISTAN-E-JOUHAR (KP-2023) 	75290	New Town 	Sindh
KARACHI GULSHAN-E-IQBAL 	75300	New Town 	Sindh
KARACHI GULSHAN-E-JAMAL 	75260	New Town 	Sindh
KARACHI GULZAR-E-HIJRI	75330	New Town 	Sindh
KARACHI HABIB BANK	75650	Karachi City 	Sindh
KARACHI HOTEL METROPOLE	75520	Karachi 	Sindh
KARACHI I.T.E	75700	Alhydri 	Sindh
KARACHI J.P.M.C	75510	Karachi Saddar 	Sindh
KARACHI LIAQATABAD	75900	Alhydri 	Sindh
KARACHI LYARI	75660	Karachi City 	Sindh
KARACHI MANGHOPIR	75890	Alhydri 	Sindh
KARACHI MAURIPUR AF	75750	Karachi City 	Sindh
KARACHI MAURIPUR CE	75780	Karachi City 	Sindh
KARACHI METROVILLE	75840	Alhydri 	Sindh
KARACHI MOSAMIAT CHOWRANGI	75280	New Town 	Sindh
KARACHI NAZIMABAD 	74600	Alhydri 	Sindh
KARACHI NEW SABZI MANDI	75340	New Town 	Sindh
KARACHI NISHTAR ROAD	75550	New Town 	Sindh
KARACHI P.E.C.H.S BI-2	75400	New Town 	Sindh
KARACHI P.N.A.D.	75790	Alhydri 	Sindh
KARACHI SADDAR G.P.O.	74400	Karachi Saddar 	Sindh
KARACHI SHAHRA-E-FAISAL	75350	New Town 	Sindh
KARACHI SHER SHAH COLONY	75730	Karachi City 	Sindh
KARACHI UNIVERSITY 	75270	New Town 	Sindh
KARAK GPO	27200	Karak 	NWFP
KARAKH	89350	Khuzdar 	Balochistan
KARAM PUR	78220	Shikarpur 	Sindh
KARAMPUR	61220	Vehari 	Punjab
KARARIWALA KALAN	50270	Gujrat 	Punjab
KARIANWALA	50830	Gujrat 	Punjab
KARIM ABAD	31660	Layyah 	Punjab
KARIMABAD	15700	Gilgit 	Northern Area
KARIO GHANWAR	72020	Hyderabad 	Sindh
KARNAH	13220	Muzaffarabad 	Azad Kashmir
KAROR	31100	Layyah 	Punjab
KARRIALA	48510	Chakwal 	Punjab
KARULI	48554	Chakwal 	Punjab
KASHMIRI BAZAR	47190	Murree 	Punjab
KASHMOR COLONY	79210	Jacobabad 	Sindh
KASHMORE	79200	Jacobabad 	Sindh
KASSOKI	52140	Gujranwala 	Punjab
KASSOWAL	57300	Sahiwal 	Punjab
KASUR G.P.O	55050	Kasur 	Punjab
KATAGARI	93200	Turbat 	Balochistan
KATHA DILAWAR KHAN	10550	Mirpur 	Azad Kashmir
KATHIALA SHEIKHAN	50480	Mandi Bahauddin 	Punjab
KATLANG	23240	Mardan 	NWFP
KAWANKH	50880	Gujrat 	Punjab
KAZIAN	47960	Gujar Khan 	Punjab
KEHRORE	47280	Rawalpindi 	Punjab
KEMARI	75620	Karachi 	Sindh
KHABBEKKI	41120	Khushab 	Punjab
KHADAR KHAN KHEL	28020	Bannu 	NWFP
KHADHAN	72270	Hyderabad 	Sindh
KHADIMABAD 	10310	Mirpur 	Azad Kashmir
KHADRIALA	50006	Gujrat 	Punjab
KHADRO	68210	Sanghar 	Sindh
KHAIGALA	12250	Rawalakot 	Azad Kashmir
KHAIR ABAD	24000	Nowshera 	NWFP
KHAIR PUR GPO	66020	Khairpur 	Sindh
KHAIRA GALI	22330	Abbottabad 	NWFP
KHAIRPUR (CHAKWAL)	48380	Chakwal 	Punjab
KHAIRPUR JOSO	77240	Larkana 	Sindh
KHAIRPUR NATHAN SHAH	76260	Dadu 	Sindh
KHAIRPUR SADAT	34470	Muzaffargarh 	Punjab
KHAIRPUR TAMIWALI	63060	Bahawalpur 	Punjab
KHAKI	21350	Mansehra 	NWFP
KHALABAT TOWNSHIP	22800	Haripur 	NWFP
KHALAS PUR	49740	Jhelum 	Punjab
KHALL	18250	Batkhela HPO	NWFP
KHALOL	47410	Rawalpindi 	Punjab
KHAMBARA	65034	Sukkur 	Sindh
KHAN BELA	59260	Multan 	Punjab
KHAN BELA	64040	Rahimyar Khan 	Punjab
KHAN GAH DOGRAN	39560	Qila Sheikhupura 	Punjab
KHAN GARH	34350	Muzaffargarh 	Punjab
KHAN PUR	64100	Rahimyar Khan 	Punjab
KHAN PUR (CHAKWAL)	48870	Chakwal 	Punjab
KHAN PUR (SHIKARPUR)	78200	Shikarpur 	Sindh
KHAN PUR SYEDAN	51460	Sialkot 	Punjab
KHAN WAHAN	67030	Nawabshah 	Sindh
KHANEWAL AMMUNITION DEPOT	58120	Khanewal 	Punjab
KHANEWAL GPO	58150	Khanewal 	Punjab
KHANKI	52050	Gujranwala 	Punjab
KHANOZAI	86600	Quetta 	Balochistan
KHANPUR (HAZARA)	22650	Haripur 	NWFP
KHANPUR JUNEJO	76264	Dadu 	Sindh
KHANPUR MAHAR	65070	Sukkur 	Sindh
KHANPUR SHUMALI	34550	Muzaffargarh 	Punjab
KHANQAH MUBARIK	63270	Bahawalpur 	Punjab
KHAPLU	16800	Skardu HPO	Northern Area
KHAR (BAJAUR AGENCY)	18650	Batkhela HPO	NWFP
KHARAL ABBASIAN	12520	Bagh 	Azad Kashmir
KHARAN	94100	Quetta 	Balochistan
KHARIAN CANTT	50070	Gujrat 	Punjab
KHARIAN CITY	50090	Gujrat 	Punjab
KHAROTA SYEDAN	51240	Sialkot 	Punjab
KHAUR	43380	Attock 	Punjab
KHAUR VILLAGE	43382	Attock 	Punjab
KHAWAZA KHELA	19110	Saidu Sharif 	NWFP
KHESHKI PAYAN	24120	Nowshera 	NWFP
KHEWRA	49060	Jhelum 	Punjab
KHICHI WALA	62040	Bahawal Nagar 	Punjab
KHINGAR MAMDAL	47994	Gujar Khan 	Punjab
KHIPRO	68330	Sanghar 	Sindh
KHOHAR	50050	Gujrat 	Punjab
KHOKHAR GHARBI	50610	Gujrat 	Punjab
KHOKRAPAR	69120	Mirpur Khas 	Sindh
KHORI ALAM	50286	Mandi Bahauddin 	Punjab
KHOST	82310	SIBI 	Balochistan
KHUDA KI BASTI	76340	Hyderabad 	Sindh
