POST-OFFICE-NAME	PIN-CODE	DISTRICT	STATE
BIARI AYUB KHAN	21010	Mansehra 	NWFP
BILAL TOWN	49620	Jhelum 	Punjab
BILALABAD	48140	Talagang 	Punjab
BILLI TANG	26110	Kohat 	NWFP
BILOT	29170	Dera Ismail Khan 	NWFP
BINDI	10090	Bhimber 	Azad Kashmir
BIR	22770	Haripur 	NWFP
BIRAN GALI	22230	Abbottabad 	NWFP
BIRPANI	12510	Bagh 	Azad Kashmir
BISHAN DORE	49250	Jhelum 	Punjab
BOCHAL KALAN	48560	Chakwal 	Punjab
BOHA DHANGRI 	10490	Mirpur 	Azad Kashmir
BOI	22180	Mansehra 	NWFP
BONG COLONY	12010	Kotli 	Azad Kashmir
BOONI	17050	Chitral 	NWFP
BOONI MAIN BAZAR	17054	Chitral 	NWFP
BOOTA	43750	Attock 	Punjab
BOSAL	50486	Mandi Bahauddin 	Punjab
BOSTAN	86500	Quetta 	Balochistan
BOTALA SARDAR JHANDA SINGH	52340	Gujranwala 	Punjab
BOYA	28210	Bannu 	NWFP
BREP	17010	Chitral 	NWFP
BROZ	17230	Chitral 	NWFP
BUBAK	76150	Dadu 	Sindh
BUCHAL KHURD	48580	Chakwal 	Punjab
BUCHARI	67470	Nawabshah 	Sindh 
BUCHEKI	39130	Qila Sheikhupura 	Punjab
BUCHIANA	37260	Faisalabad 	Punjab
BUDHA GORAYA	52356	Gujranwala 	Punjab
BUDHAIR	49410	Jhelum 	Punjab
BUDHIAL	48050	Talagang 	Punjab
BUDHLA SANT	60060	Multan 	Punjab
BUET 	89120	Khuzdar 	Balochistan
BUFFER ZONE (KP-1979) 	75850	Alhydri 	Sindh
BUGHAL CHAR	32310	Dera Ghazi Khan 	Punjab
BUKHTARABAD DOMKI	81150	SIBI 	Balochistan
BULANI	50040	Gujrat 	Punjab
BULEDA	92800	Turbat 	Balochistan
BULLAND HILL	40080	Sargodha 	Punjab
BULRI SHAH KARIM	73020	Hyderabad 	Sindh
BUNJI	14200	Gilgit 	Northern Area
BURCH BASUHA	50970	Gujrat 	Punjab
BUREWALA	61010	Vehari 	Punjab
BUREWALA KATCHEHRY	61040	Vehari 	Punjab
BURHAN	43710	Attock 	Punjab
BURJ MANDI	37730	Faisalabad 	Punjab
BUXAPUR	79190	Jacobabad 	Sindh
BUZDAR	66130	Khairpur  	Sindh
BUZURANG WAL	50930	Gujrat 	Punjab
C.M.A. CANTT. LAHORE	54800	Lahore Cantt 	Punjab
CADIT COLLEGE MUSTUNG	88200	Khuzdar 	Balochistan
CADIT COLLEGE, LARKANA 	77062	Larkana 	SIndh
CANAL COLONY FAROOQ ABAD	39510	Qila Sheikhupura 	Punjab
CH0WK SARWAR SHAHEED	34030	Muzaffargarh 	Punjab
CHABCHHAB	43050	Attock 	Punjab
CHACHAN	12040	Rawalakot 	Azad Kashmir
CHACHRAN SHARIF	64140	Rahimyar Khan 	Punjab
CHACHRO	69170	Mirpur Khas 	Sindh
CHAH MIRAN	54900	Lahore 	Punjab
CHAK	78050	Shikarpur 	Sindh
CHAK 10 M.L.	40530	Sargodha 	Punjab
CHAK 102/P	64220	Rahimyar Khan 	Punjab
CHAK 103 JB	37720	Faisalabad 	Punjab
CHAK 103 RB	37660	Faisalabad 	Punjab
CHAK 111 SB	40260	Sargodha 	Punjab
CHAK 113 GB	37570	Faisalabad 	Punjab
CHAK 117 JB	37600	Faisalabad 	Punjab
CHAK 117/D.B	63230	Bahawalpur 	Punjab
CHAK 117/M	62004	Bahawal Nagar 	Punjab
CHAK 119/13-AL	57340	Sahiwal 	Punjab
CHAK 120/13-AL	57330	Sahiwal 	Punjab
CHAK 120/9-L	57130	Sahiwal 	Punjab
CHAK 128 GB	37220	Faisalabad 	Punjab
CHAK 132/6-R	62070	Bahawal Nagar 	Punjab
CHAK 136/10-R	58220	Khanewal 	Punjab
CHAK 138/10 R	58202	Khanewal 	Punjab
CHAK 145/9-L	57180	Sahiwal 	Punjab
CHAK 159 GB 	36150	T.T Singh 	Punjab
CHAK 16 JB	37740	Faisalabad 	Punjab
CHAK 168/9-L	57230	Sahiwal 	Punjab
CHAK 175 /JB	35310	Jhang 	Punjab
CHAK 189 RB (RASULPUR)	37690	Faisalabad 	Punjab
CHAK 199 RB	37620	Faisalabad 	Punjab
CHAK 203 RB	37610	Faisalabad 	Punjab
CHAK 206 GB	37040	Faisalabad 	Punjab
CHAK 207 GB	37050	Faisalabad 	Punjab
CHAK 227/R-9	62030	Bahawal Nagar 	Punjab
CHAK 248 RB	37420	Faisalabad 	Punjab
CHAK 253 RB	37400	Faisalabad 	Punjab
CHAK 256 GB	36080	T.T Singh 	Punjab
CHAK 257 RB	37410	Faisalabad 	Punjab
CHAK 267 RB	37360	Faisalabad 	Punjab
CHAK 275 J.B	37530	Faisalabad 	Punjab
CHAK 29 S.B.	40310	Sargodha 	Punjab
CHAK 297/HR	62024	Bahawal Nagar 	Punjab
CHAK 316 GB QADIR ABAD	36000	T.T Singh 	Punjab
CHAK 333 GB	36330	T.T Singh 	Punjab
CHAK 34 N.B.	40330	Sargodha 	Punjab
CHAK 353 GB	37224	Faisalabad 	Punjab
CHAK 36 S.B.	40060	Sargodha 	Punjab
CHAK 387 GB	36260	T.T Singh 	Punjab
CHAK 4/DB	42060	Mianwali 	Punjab
CHAK 424/JB	36160	T.T Singh 	Punjab
CHAK 433 GB	37180	Faisalabad 	Punjab
CHAK 447 GB	37130	Faisalabad 	Punjab
CHAK 45 GB	37340	Faisalabad 	Punjab
CHAK 46 S.B.	40050	Sargodha 	Punjab
CHAK 47/T.D.A.	30050	Bhakkar 	Punjab
CHAK 482 GB (JAGRANWAN)	37060	Faisalabad 	Punjab
CHAK 490	35110	Jhang 	Punjab
CHAK 53/2-L	56316	Okara 	Punjab
CHAK 64 S.B	40140	Sargodha 	Punjab
CHAK 66 GB	37230	Faisalabad 	Punjab
CHAK 67 ML	30052	Bhakkar 	Punjab
